comercio_id,nombre_comercio,categoria_mcc,industria,pais,ciudad,riesgo_comercio,antiguedad_meses,blacklist,metodos_pago_aceptados,fecha_alta,rating_promedio,url
M000001,Comercio Supermercado 0001,5411,SUPERMERCADO,GT,Guatemala,29.70,156,false,QR|TARJETA|TRANSFERENCIA,2013-06-28,3.61,https://comercio0001.example.com
M000002,Comercio Transporte 0002,4111,TRANSPORTE,CR,San Jose,39.95,146,false,TARJETA|LINK_PAGO|CRIPTO,2014-04-24,2.79,https://comercio0002.example.com
M000003,Comercio Transporte 0003,4111,TRANSPORTE,BR,Sao Paulo,24.63,154,false,TARJETA|QR|LINK_PAGO|CRIPTO,2013-08-27,3.91,https://comercio0003.example.com
M000004,Comercio Remitesas 0004,4829,REMITESAS,CO,Bogota,64.64,106,false,TRANSFERENCIA|CRIPTO|TARJETA|LINK_PAGO,2017-08-06,2.32,https://comercio0004.example.com
M000005,Comercio Restaurante 0005,5812,RESTAURANTE,ES,Madrid,24.64,94,false,TARJETA|TRANSFERENCIA|QR|LINK_PAGO,2018-08-01,4.14,https://comercio0005.example.com
M000006,Comercio E_Commerce 0006,5999,E_COMMERCE,MX,Monterrey,60.45,50,false,TRANSFERENCIA|TARJETA,2022-03-13,3.24,https://comercio0006.example.com
M000007,Comercio Electronica 0007,5732,ELECTRONICA,CL,Santiago,28.90,116,false,TRANSFERENCIA|LINK_PAGO,2016-10-10,3.95,https://comercio0007.example.com
M000008,Comercio E_Commerce 0008,5999,E_COMMERCE,SV,San Salvador,49.91,56,false,LINK_PAGO|TARJETA|CRIPTO|TRANSFERENCIA,2021-09-14,3.97,https://comercio0008.example.com
M000009,Comercio Servicios_Financieros 0009,6012,SERVICIOS_FINANCIEROS,EC,Quito,72.33,47,false,CRIPTO|LINK_PAGO,2022-06-11,1.81,https://comercio0009.example.com
M000010,Comercio Restaurante 0010,5812,RESTAURANTE,GT,Escuintla,26.99,8,false,TARJETA|CRIPTO,2025-08-24,4.52,https://comercio0010.example.com
M000011,Comercio Servicios_Financieros 0011,6012,SERVICIOS_FINANCIEROS,HN,Tegucigalpa,62.91,5,false,QR|TRANSFERENCIA,2025-11-22,3.82,https://comercio0011.example.com
M000012,Comercio Servicios_Financieros 0012,6012,SERVICIOS_FINANCIEROS,SV,San Salvador,49.62,56,false,TRANSFERENCIA|LINK_PAGO|CRIPTO,2021-09-14,3.65,https://comercio0012.example.com
M000013,Comercio Crypto 0013,6051,CRYPTO,SV,San Salvador,84.73,8,true,TRANSFERENCIA|LINK_PAGO|CRIPTO,2025-08-24,1.41,https://comercio0013.example.com
M000014,Comercio Servicios_Financieros 0014,6012,SERVICIOS_FINANCIEROS,MX,Ciudad de Mexico,55.52,129,false,CRIPTO|LINK_PAGO|TARJETA|TRANSFERENCIA,2015-09-16,4.18,https://comercio0014.example.com
M000015,Comercio Servicios_Financieros 0015,6012,SERVICIOS_FINANCIEROS,GT,Guatemala,72.52,160,false,QR|LINK_PAGO,2013-02-28,3.32,https://comercio0015.example.com
M000016,Comercio Servicios_Basicos 0016,4900,SERVICIOS_BASICOS,AR,Buenos Aires,33.20,22,false,TARJETA|LINK_PAGO,2024-06-30,2.62,https://comercio0016.example.com
M000017,Comercio Electronica 0017,5732,ELECTRONICA,CO,Bogota,39.71,34,false,CRIPTO|TRANSFERENCIA|LINK_PAGO|TARJETA,2023-07-06,1.94,https://comercio0017.example.com
M000018,Comercio Transporte 0018,4111,TRANSPORTE,GT,Quetzaltenango,45.62,124,false,LINK_PAGO|CRIPTO|TARJETA,2016-02-13,2.33,https://comercio0018.example.com
M000019,Comercio Apuestas 0019,7995,APUESTAS,EC,Quito,76.82,145,false,QR|CRIPTO|LINK_PAGO|TRANSFERENCIA,2014-05-24,1.49,https://comercio0019.example.com
M000020,Comercio Electronica 0020,5732,ELECTRONICA,PE,Lima,36.53,110,false,QR|TARJETA|CRIPTO|TRANSFERENCIA,2017-04-08,3.08,https://comercio0020.example.com
M000021,Comercio Restaurante 0021,5812,RESTAURANTE,PA,Panama City,23.65,51,false,LINK_PAGO|CRIPTO,2022-02-11,2.47,https://comercio0021.example.com
M000022,Comercio Crypto 0022,6051,CRYPTO,EC,Quito,95.53,155,false,LINK_PAGO|CRIPTO|TRANSFERENCIA|TARJETA,2013-07-28,3.90,https://comercio0022.example.com
M000023,Comercio Transporte 0023,4111,TRANSPORTE,IN,Mumbai,27.11,95,false,TRANSFERENCIA|TARJETA,2018-07-02,1.96,https://comercio0023.example.com
M000024,Comercio Electronica 0024,5732,ELECTRONICA,CO,Bogota,49.44,114,false,QR|TARJETA|TRANSFERENCIA|LINK_PAGO,2016-12-09,4.43,https://comercio0024.example.com
M000025,Comercio Supermercado 0025,5411,SUPERMERCADO,CR,San Jose,36.88,25,false,CRIPTO|TARJETA|TRANSFERENCIA,2024-04-01,3.24,https://comercio0025.example.com
M000026,Comercio Supermercado 0026,5411,SUPERMERCADO,GT,Guatemala,31.94,24,false,TARJETA|TRANSFERENCIA,2024-05-01,3.03,https://comercio0026.example.com
M000027,Comercio Remitesas 0027,4829,REMITESAS,GT,Guatemala,76.78,96,false,TARJETA|TRANSFERENCIA|CRIPTO,2018-06-02,3.35,https://comercio0027.example.com
M000028,Comercio Supermercado 0028,5411,SUPERMERCADO,BR,Sao Paulo,27.46,36,false,TRANSFERENCIA|QR,2023-05-07,4.32,https://comercio0028.example.com
M000029,Comercio Transporte 0029,4111,TRANSPORTE,GB,London,25.65,62,false,CRIPTO|TARJETA|QR|LINK_PAGO,2021-03-18,3.94,https://comercio0029.example.com
M000030,Comercio Crypto 0030,6051,CRYPTO,CO,Bogota,99.00,157,false,LINK_PAGO|TARJETA|CRIPTO,2013-05-29,3.12,https://comercio0030.example.com
M000031,Comercio Electronica 0031,5732,ELECTRONICA,BR,Sao Paulo,26.74,66,false,TARJETA|TRANSFERENCIA|CRIPTO|LINK_PAGO,2020-11-18,2.63,https://comercio0031.example.com
M000032,Comercio Servicios_Financieros 0032,6012,SERVICIOS_FINANCIEROS,AR,Buenos Aires,72.49,49,false,QR|TARJETA|TRANSFERENCIA,2022-04-12,1.96,https://comercio0032.example.com
M000033,Comercio Remitesas 0033,4829,REMITESAS,FR,Paris,57.67,40,false,LINK_PAGO|QR|TRANSFERENCIA|TARJETA,2023-01-07,2.40,https://comercio0033.example.com
M000034,Comercio Crypto 0034,6051,CRYPTO,GT,Guatemala,85.59,123,true,CRIPTO|TRANSFERENCIA|QR,2016-03-14,3.26,https://comercio0034.example.com
M000035,Comercio Electronica 0035,5732,ELECTRONICA,EC,Quito,29.61,94,true,TRANSFERENCIA|QR|TARJETA|LINK_PAGO,2018-08-01,1.84,https://comercio0035.example.com
M000036,Comercio Crypto 0036,6051,CRYPTO,MX,Ciudad de Mexico,93.62,125,true,LINK_PAGO|TRANSFERENCIA|TARJETA|CRIPTO,2016-01-14,3.29,https://comercio0036.example.com
M000037,Comercio Crypto 0037,6051,CRYPTO,PE,Lima,81.45,100,false,CRIPTO|TRANSFERENCIA|QR,2018-02-02,2.10,https://comercio0037.example.com
M000038,Comercio Servicios_Basicos 0038,4900,SERVICIOS_BASICOS,PA,Panama City,18.42,60,false,LINK_PAGO|TRANSFERENCIA|CRIPTO,2021-05-17,3.84,https://comercio0038.example.com
M000039,Comercio Supermercado 0039,5411,SUPERMERCADO,HN,Tegucigalpa,26.74,83,false,TARJETA|TRANSFERENCIA|CRIPTO|QR,2019-06-27,3.84,https://comercio0039.example.com
M000040,Comercio E_Commerce 0040,5999,E_COMMERCE,GT,Guatemala,60.69,83,false,TRANSFERENCIA|QR|CRIPTO|LINK_PAGO,2019-06-27,4.18,https://comercio0040.example.com
M000041,Comercio Electronica 0041,5732,ELECTRONICA,US,Miami,27.45,63,false,LINK_PAGO|TRANSFERENCIA|CRIPTO,2021-02-16,2.86,https://comercio0041.example.com
M000042,Comercio Remitesas 0042,4829,REMITESAS,DE,Berlin,68.00,54,false,CRIPTO|QR|TARJETA,2021-11-13,2.69,https://comercio0042.example.com
M000043,Comercio Restaurante 0043,5812,RESTAURANTE,MX,Monterrey,41.14,127,false,TARJETA|QR|TRANSFERENCIA,2015-11-15,2.20,https://comercio0043.example.com
M000044,Comercio Crypto 0044,6051,CRYPTO,SV,San Salvador,91.83,83,false,TRANSFERENCIA|TARJETA|QR|CRIPTO,2019-06-27,3.33,https://comercio0044.example.com
M000045,Comercio Electronica 0045,5732,ELECTRONICA,EC,Quito,50.03,140,false,LINK_PAGO|QR|CRIPTO|TARJETA,2014-10-21,3.96,https://comercio0045.example.com
M000046,Comercio Crypto 0046,6051,CRYPTO,EC,Quito,79.87,141,false,QR|TRANSFERENCIA|CRIPTO,2014-09-21,3.26,https://comercio0046.example.com
M000047,Comercio E_Commerce 0047,5999,E_COMMERCE,HN,Tegucigalpa,57.73,98,false,LINK_PAGO|QR,2018-04-03,3.23,https://comercio0047.example.com
M000048,Comercio Remitesas 0048,4829,REMITESAS,BR,Sao Paulo,58.62,35,false,CRIPTO|TRANSFERENCIA|QR|TARJETA,2023-06-06,2.50,https://comercio0048.example.com
M000049,Comercio Apuestas 0049,7995,APUESTAS,US,Miami,90.55,138,false,LINK_PAGO|CRIPTO|QR,2014-12-20,1.81,https://comercio0049.example.com
M000050,Comercio Remitesas 0050,4829,REMITESAS,AE,Dubai,60.47,143,false,CRIPTO|TARJETA|TRANSFERENCIA,2014-07-23,1.85,https://comercio0050.example.com
M000051,Comercio Remitesas 0051,4829,REMITESAS,DE,Berlin,63.82,128,false,CRIPTO|TRANSFERENCIA,2015-10-16,1.55,https://comercio0051.example.com
M000052,Comercio Crypto 0052,6051,CRYPTO,PA,Panama City,82.09,8,false,CRIPTO|QR|LINK_PAGO,2025-08-24,3.58,https://comercio0052.example.com
M000053,Comercio E_Commerce 0053,5999,E_COMMERCE,GT,Guatemala,57.32,91,false,TRANSFERENCIA|LINK_PAGO,2018-10-30,2.33,https://comercio0053.example.com
M000054,Comercio Electronica 0054,5732,ELECTRONICA,GT,Quetzaltenango,36.48,86,false,TRANSFERENCIA|LINK_PAGO,2019-03-29,4.33,https://comercio0054.example.com
M000055,Comercio Crypto 0055,6051,CRYPTO,GB,London,91.12,59,false,QR|TRANSFERENCIA|LINK_PAGO|CRIPTO,2021-06-16,2.83,https://comercio0055.example.com
M000056,Comercio Crypto 0056,6051,CRYPTO,CN,Shenzhen,93.74,154,false,LINK_PAGO|CRIPTO|QR|TARJETA,2013-08-27,2.94,https://comercio0056.example.com
M000057,Comercio Restaurante 0057,5812,RESTAURANTE,PA,Panama City,37.72,94,false,QR|LINK_PAGO,2018-08-01,2.38,https://comercio0057.example.com
M000058,Comercio E_Commerce 0058,5999,E_COMMERCE,GT,Guatemala,42.16,158,false,TARJETA|QR|CRIPTO,2013-04-29,1.81,https://comercio0058.example.com
M000059,Comercio Servicios_Basicos 0059,4900,SERVICIOS_BASICOS,GB,London,40.76,119,false,TARJETA|LINK_PAGO|QR|CRIPTO,2016-07-12,2.76,https://comercio0059.example.com
M000060,Comercio Restaurante 0060,5812,RESTAURANTE,CO,Bogota,20.34,46,false,TARJETA|TRANSFERENCIA,2022-07-11,4.29,https://comercio0060.example.com
M000061,Comercio Restaurante 0061,5812,RESTAURANTE,FR,Paris,40.11,126,false,LINK_PAGO|TARJETA,2015-12-15,1.96,https://comercio0061.example.com
M000062,Comercio Restaurante 0062,5812,RESTAURANTE,AR,Buenos Aires,23.54,19,false,QR|TRANSFERENCIA,2024-09-28,2.07,https://comercio0062.example.com
M000063,Comercio Servicios_Basicos 0063,4900,SERVICIOS_BASICOS,PA,Panama City,34.96,132,false,CRIPTO|TRANSFERENCIA|TARJETA|QR,2015-06-18,3.19,https://comercio0063.example.com
M000064,Comercio Remitesas 0064,4829,REMITESAS,BR,Sao Paulo,66.12,58,false,QR|TRANSFERENCIA|TARJETA|LINK_PAGO,2021-07-16,3.19,https://comercio0064.example.com
M000065,Comercio Remitesas 0065,4829,REMITESAS,AR,Buenos Aires,79.16,48,false,LINK_PAGO|TARJETA|QR|TRANSFERENCIA,2022-05-12,1.98,https://comercio0065.example.com
M000066,Comercio Servicios_Basicos 0066,4900,SERVICIOS_BASICOS,BR,Sao Paulo,21.22,69,false,LINK_PAGO|TRANSFERENCIA|QR,2020-08-20,1.87,https://comercio0066.example.com
M000067,Comercio Transporte 0067,4111,TRANSPORTE,GT,Escuintla,29.90,146,false,TARJETA|CRIPTO|LINK_PAGO,2014-04-24,3.57,https://comercio0067.example.com
M000068,Comercio Crypto 0068,6051,CRYPTO,GT,Escuintla,80.87,56,false,TRANSFERENCIA|CRIPTO,2021-09-14,2.80,https://comercio0068.example.com
M000069,Comercio Apuestas 0069,7995,APUESTAS,GB,London,77.32,98,false,QR|TRANSFERENCIA|LINK_PAGO|TARJETA,2018-04-03,2.55,https://comercio0069.example.com
M000070,Comercio Apuestas 0070,7995,APUESTAS,US,Miami,91.48,55,false,TARJETA|QR|CRIPTO|LINK_PAGO,2021-10-14,2.79,https://comercio0070.example.com
M000071,Comercio Servicios_Basicos 0071,4900,SERVICIOS_BASICOS,US,Houston,29.69,34,false,TRANSFERENCIA|QR|LINK_PAGO,2023-07-06,3.66,https://comercio0071.example.com
M000072,Comercio E_Commerce 0072,5999,E_COMMERCE,CR,San Jose,36.53,132,false,LINK_PAGO|TARJETA|CRIPTO,2015-06-18,3.30,https://comercio0072.example.com
M000073,Comercio Supermercado 0073,5411,SUPERMERCADO,MX,Monterrey,38.68,13,false,CRIPTO|LINK_PAGO|TARJETA|TRANSFERENCIA,2025-03-27,4.24,https://comercio0073.example.com
M000074,Comercio E_Commerce 0074,5999,E_COMMERCE,US,Miami,52.87,67,false,TARJETA|CRIPTO|LINK_PAGO|TRANSFERENCIA,2020-10-19,1.73,https://comercio0074.example.com
M000075,Comercio Apuestas 0075,7995,APUESTAS,CR,San Jose,81.82,4,false,QR|TARJETA|CRIPTO,2025-12-22,2.57,https://comercio0075.example.com
M000076,Comercio Crypto 0076,6051,CRYPTO,GT,Guatemala,87.25,99,false,QR|TARJETA|LINK_PAGO|CRIPTO,2018-03-04,2.62,https://comercio0076.example.com
M000077,Comercio Apuestas 0077,7995,APUESTAS,US,Houston,78.16,109,false,TARJETA|TRANSFERENCIA,2017-05-08,3.34,https://comercio0077.example.com
M000078,Comercio Servicios_Basicos 0078,4900,SERVICIOS_BASICOS,MX,Monterrey,26.60,117,false,LINK_PAGO|QR,2016-09-10,2.36,https://comercio0078.example.com
M000079,Comercio Crypto 0079,6051,CRYPTO,CO,Bogota,83.53,157,false,CRIPTO|TARJETA|TRANSFERENCIA,2013-05-29,3.26,https://comercio0079.example.com
M000080,Comercio Electronica 0080,5732,ELECTRONICA,SV,San Salvador,53.09,127,false,TARJETA|QR|TRANSFERENCIA,2015-11-15,3.98,https://comercio0080.example.com
M000081,Comercio Servicios_Basicos 0081,4900,SERVICIOS_BASICOS,HN,Tegucigalpa,39.41,95,false,TARJETA|TRANSFERENCIA|LINK_PAGO|CRIPTO,2018-07-02,2.85,https://comercio0081.example.com
M000082,Comercio Restaurante 0082,5812,RESTAURANTE,CN,Shenzhen,40.45,39,false,LINK_PAGO|TRANSFERENCIA|TARJETA,2023-02-06,2.77,https://comercio0082.example.com
M000083,Comercio Apuestas 0083,7995,APUESTAS,EC,Quito,87.82,19,true,LINK_PAGO|CRIPTO|TARJETA|TRANSFERENCIA,2024-09-28,1.59,https://comercio0083.example.com
M000084,Comercio Transporte 0084,4111,TRANSPORTE,AE,Dubai,26.11,53,false,TRANSFERENCIA|CRIPTO|LINK_PAGO,2021-12-13,3.65,https://comercio0084.example.com
M000085,Comercio Servicios_Basicos 0085,4900,SERVICIOS_BASICOS,US,Miami,34.61,31,false,CRIPTO|TARJETA,2023-10-04,4.35,https://comercio0085.example.com
M000086,Comercio Remitesas 0086,4829,REMITESAS,SV,San Salvador,69.61,93,false,LINK_PAGO|TARJETA,2018-08-31,3.32,https://comercio0086.example.com
M000087,Comercio Servicios_Financieros 0087,6012,SERVICIOS_FINANCIEROS,CO,Bogota,49.89,111,false,CRIPTO|TARJETA|QR,2017-03-09,4.39,https://comercio0087.example.com
M000088,Comercio Supermercado 0088,5411,SUPERMERCADO,IN,Mumbai,36.30,127,false,QR|LINK_PAGO|TRANSFERENCIA|CRIPTO,2015-11-15,4.11,https://comercio0088.example.com
M000089,Comercio Apuestas 0089,7995,APUESTAS,ES,Madrid,72.55,118,false,TRANSFERENCIA|QR|CRIPTO|TARJETA,2016-08-11,1.63,https://comercio0089.example.com
M000090,Comercio Supermercado 0090,5411,SUPERMERCADO,US,Houston,33.11,56,false,QR|TRANSFERENCIA|LINK_PAGO|TARJETA,2021-09-14,3.12,https://comercio0090.example.com
M000091,Comercio Restaurante 0091,5812,RESTAURANTE,PA,Panama City,30.71,108,false,QR|TRANSFERENCIA|CRIPTO,2017-06-07,1.95,https://comercio0091.example.com
M000092,Comercio Electronica 0092,5732,ELECTRONICA,GT,Escuintla,41.33,73,false,TRANSFERENCIA|CRIPTO|QR|TARJETA,2020-04-22,3.45,https://comercio0092.example.com
M000093,Comercio Restaurante 0093,5812,RESTAURANTE,AR,Buenos Aires,34.79,43,false,LINK_PAGO|TARJETA|TRANSFERENCIA,2022-10-09,1.76,https://comercio0093.example.com
M000094,Comercio Supermercado 0094,5411,SUPERMERCADO,CO,Bogota,30.58,133,false,CRIPTO|QR|TARJETA|LINK_PAGO,2015-05-19,3.09,https://comercio0094.example.com
M000095,Comercio Remitesas 0095,4829,REMITESAS,IN,Mumbai,61.99,31,false,TRANSFERENCIA|TARJETA,2023-10-04,4.04,https://comercio0095.example.com
M000096,Comercio Electronica 0096,5732,ELECTRONICA,HN,Tegucigalpa,38.93,117,false,LINK_PAGO|TRANSFERENCIA|TARJETA|CRIPTO,2016-09-10,1.79,https://comercio0096.example.com
M000097,Comercio Supermercado 0097,5411,SUPERMERCADO,CR,San Jose,28.80,83,false,TARJETA|LINK_PAGO|TRANSFERENCIA|QR,2019-06-27,3.94,https://comercio0097.example.com
M000098,Comercio Remitesas 0098,4829,REMITESAS,AR,Buenos Aires,54.51,23,false,TRANSFERENCIA|QR|CRIPTO|LINK_PAGO,2024-05-31,4.00,https://comercio0098.example.com
M000099,Comercio Remitesas 0099,4829,REMITESAS,GT,Guatemala,66.56,80,false,QR|TARJETA|TRANSFERENCIA|LINK_PAGO,2019-09-25,2.34,https://comercio0099.example.com
M000100,Comercio Supermercado 0100,5411,SUPERMERCADO,EC,Quito,14.61,47,false,TARJETA|CRIPTO|QR,2022-06-11,4.03,https://comercio0100.example.com
M000101,Comercio Crypto 0101,6051,CRYPTO,CR,San Jose,99.00,130,false,CRIPTO|LINK_PAGO|QR,2015-08-17,2.45,https://comercio0101.example.com
M000102,Comercio Electronica 0102,5732,ELECTRONICA,AR,Buenos Aires,26.86,33,false,LINK_PAGO|CRIPTO,2023-08-05,3.16,https://comercio0102.example.com
M000103,Comercio Crypto 0103,6051,CRYPTO,GB,London,81.69,68,false,TARJETA|LINK_PAGO|CRIPTO,2020-09-19,2.67,https://comercio0103.example.com
M000104,Comercio Apuestas 0104,7995,APUESTAS,BR,Sao Paulo,84.95,135,true,QR|LINK_PAGO,2015-03-20,1.84,https://comercio0104.example.com
M000105,Comercio Servicios_Basicos 0105,4900,SERVICIOS_BASICOS,FR,Paris,24.74,134,false,CRIPTO|TRANSFERENCIA|QR,2015-04-19,3.70,https://comercio0105.example.com
M000106,Comercio E_Commerce 0106,5999,E_COMMERCE,AE,Dubai,52.14,39,false,CRIPTO|TRANSFERENCIA|QR|TARJETA,2023-02-06,3.72,https://comercio0106.example.com
M000107,Comercio Remitesas 0107,4829,REMITESAS,AR,Buenos Aires,79.86,107,false,CRIPTO|QR|TARJETA|TRANSFERENCIA,2017-07-07,3.71,https://comercio0107.example.com
M000108,Comercio Transporte 0108,4111,TRANSPORTE,IN,Mumbai,23.75,76,false,QR|TRANSFERENCIA,2020-01-23,3.89,https://comercio0108.example.com
M000109,Comercio Apuestas 0109,7995,APUESTAS,IN,Mumbai,82.45,105,false,TARJETA|CRIPTO|TRANSFERENCIA|LINK_PAGO,2017-09-05,3.40,https://comercio0109.example.com
M000110,Comercio Electronica 0110,5732,ELECTRONICA,CL,Santiago,26.79,37,false,TRANSFERENCIA|CRIPTO|TARJETA,2023-04-07,3.89,https://comercio0110.example.com
